,Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
121, Xerath,0,0,0,-,,,,,0:00,,,,0.0
122, Annie,0,0,0,-,,,,,0:00,,,,0.0
123, KhaZix,0,0,0,-,,,,,0:00,,,,0.0
124, Singed,0,0,0,-,,,,,0:00,,,,0.0
125, Udyr,0,0,0,-,,,,,0:00,,,,0.0
126, Kled,0,0,0,-,,,,,0:00,,,,0.0
127, Garen,0,0,0,-,,,,,0:00,,,,0.0
128, Nocturne,0,0,0,-,,,,,0:00,,,,0.0
129, Yorick,0,0,0,-,,,,,0:00,,,,0.0
130, Caitlyn,0,0,0,-,,,,,0:00,,,,0.0
131, Lulu,0,0,0,-,,,,,0:00,,,,0.0
132, Skarner,0,0,0,-,,,,,0:00,,,,0.0
133, Vayne,0,0,0,-,,,,,0:00,,,,0.0
134, Kayn,0,0,0,-,,,,,0:00,,,,0.0
135, Hecarim,0,0,0,-,,,,,0:00,,,,0.0
136, Poppy,0,0,0,-,,,,,0:00,,,,0.0
137, Talon,0,0,0,-,,,,,0:00,,,,0.0
138, Zyra,0,0,0,-,,,,,0:00,,,,0.0
139, Dr. Mundo,0,0,0,-,,,,,0:00,,,,0.0
140, Malphite,0,0,0,-,,,,,0:00,,,,0.0
141, Volibear,0,0,0,-,,,,,0:00,,,,0.0
142, Jax,0,0,0,-,,,,,0:00,,,,0.0
143, Rengar,0,0,0,-,,,,,0:00,,,,0.0
144, Tryndamere,0,0,0,-,,,,,0:00,,,,0.0
145, Illaoi,0,0,0,-,,,,,0:00,,,,0.0
146, Evelynn,0,0,0,-,,,,,0:00,,,,0.0
147, Nami,0,0,0,-,,,,,0:00,,,,0.0
